zip,totkbtu,custelec,custgas,avgkbtu
95497,31645644.84,21431,0,17719.5529
95501,620006054.4,117265,111506,63446.66058
95503,688394780.1,111969,103032,73777.004
95511,8515603.394,1858,0,54998.51493
95514,0,0,0,0
95518,14899491.78,4167,0,42907.10375
95519,457129987.5,79093,70560,69355.81973
95521,437034815.9,93597,79735,56031.90049
95524,52799118.88,8097,5977,78249.8983
95525,41657089.88,8629,6958,57930.8238
95526,12345418.46,5805,0,25520.24488
95527,11378758.74,4303,0,31732.53656
95528,33491505.4,5319,3267,75558.95183
95536,30956231.86,13969,0,26592.79707
95537,10735125.67,1918,1771,67164.49848
95540,347544087.3,63767,57373,65402.6228
95542,42531366.17,9734,0,52432.33964
95546,221646056.6,10739,0,247672.286
95547,31597231.96,5923,3432,64016.00261
95549,18259472,3856,0,56824.08299
95550,0,0,0,0
95551,34680315.77,7509,4340,55421.99884
95552,5847984.241,2229,0,31483.09147
95553,17418996.69,3635,0,57504.25316
95554,11399934.49,2784,0,49137.64865
95555,5295203.648,1921,0,33077.79478
95556,7689213.4,3085,0,29909.42003
95558,6397379.99,1855,0,41384.6684
95560,29442254.38,7254,0,48705.13545
95562,86084267.01,15732,14508,65663.05646
95563,10956833.77,3882,0,33869.65618
95564,0,0,0,0
95565,17465991.24,3619,2740,57914.31192
95568,0,0,0,0
95569,4536960.947,1466,0,37137.47023
95570,49717254.56,13889,0,42955.3643
95571,6167278.807,1491,0,49636.04674
95573,34016957.03,11734,0,34788.09309
95585,8480393.505,2788,0,36500.97635
95587,0,0,0,0
95589,8223820.927,1406,0,70189.0833
95595,0,0,0,0
95601,4453687.63,1897,0,28173.0372
95602,315158894.4,84032,19267,45005.55423
95603,718959601.2,134692,103163,64053.65734
95605,281838042.2,59410,54784,56927.3945
95606,8915038.93,2743,0,39001.264
95607,5717282.156,1908,0,35957.74941
95608,1032777807,0,246368,50304.15348
95610,581201259.7,0,163296,42710.26306
95612,22832409.94,5331,1830,51395.40785
95613,5304133.223,2291,0,27782.4525
95614,52203958.55,19555,0,32035.15738
95615,0,0,0,0
95616,903065868.4,207449,181187,52238.33531
95618,529466347.3,112902,109377,56275.31991
95619,56755257.32,23477,0,29009.80056
95620,402974669.3,82843,71226,58371.81212
95621,490510140.1,0,150492,39112.52213
95623,55994844.49,20285,0,33124.8772
95624,750059393,0,198128,45428.77693
95625,2893823.67,1281,0,27108.41846
95626,43078299.32,2877,10092,51222.71024
95627,68708806.34,14544,10175,56690.43427
95628,749529619.6,0,175045,51383.10397
95629,12352979.77,4928,0,30080.30787
95630,1168611935,0,307471,45608.6695
95631,78048624.81,27747,0,33754.4058
95632,303062311.6,4069,86147,42215.60517
95633,39980735.71,15023,0,31935.62061
95634,38397406.45,15648,0,29445.86384
95635,14798345.66,5537,0,32071.54559
95636,14822762.95,7427,0,23949.52947
95637,5979774.8,1956,0,36685.73497
95640,153503536.4,37000,20098,49784.93073
95641,38255788.36,9823,4479,46734.14032
95642,166553122.1,38888,23885,51394.70956
95645,15064069.6,5499,0,32873.03787
95648,1286320041,243829,221316,63306.00746
95650,301870998.6,56099,27898,64572.48761
95651,10726643.88,4165,0,30905.0964
95652,9007046.801,0,2786,38795.60718
95653,6126937.056,1883,0,39045.80174
95656,8574196.691,3144,0,32725.94157
95658,100184318.1,28251,2707,42554.66415
95659,9094995.28,3323,0,32843.79878
95660,374965461.8,0,106531,42237.33507
95661,508441566.4,1259,130897,46611.44868
95662,465860232.8,0,116985,47786.66319
95663,50456797.34,13049,3414,46400.61062
95664,21027544.6,6861,0,36777.5157
95665,65087734.48,25787,0,30288.62659
95666,81999072.74,41894,0,23487.58469
95667,469122114,177996,0,31626.92065
95668,11048958.19,3576,0,37077.04089
95669,32524499.93,12417,0,31432.22994
95670,769481949.8,0,222162,41563.28894
95672,62198964.19,20742,0,35984.3588
95673,175079246.1,0,50618,41506.00483
95674,9192057.061,3065,0,35988.47789
95675,5059045.914,2150,0,28236.53533
95676,5442604.755,1630,0,40068.25586
95677,658381988.6,115738,110080,68262.66104
95678,623406270.3,0,190036,39365.56886
95679,0,0,0,0
95681,21804211.3,5625,2333,46515.65078
95682,392484617.9,135633,0,34724.70133
95684,46527052.27,18152,0,30758.29811
95685,104107471.6,26006,13050,48038.51646
95686,22422545.06,4609,3548,58379.3753
95687,1315946633,263763,256903,59869.50252
95688,832921249.1,165322,137488,60458.10594
95689,19747114.57,8473,0,27967.11612
95690,21446282.62,7686,0,33483.65749
95691,814504639.4,155097,140304,63018.98601
95692,103228177.2,21897,16267,56571.13425
95694,168889537.1,38889,27957,52114.33684
95695,818485091.8,169768,141342,57854.37245
95697,9648969.131,1942,1692,59622.87826
95698,0,0,0,0
95701,11875703.04,5835,0,24423.03968
95703,21376951.32,7542,0,34012.65126
95709,61684870.46,24060,0,30765.52143
95713,123899950.2,44695,0,33265.45257
95714,5301939.216,2942,0,21625.85676
95715,2612345.871,1806,0,17357.77987
95717,2462402.719,1111,0,26596.60902
95720,3307426.419,5122,0,7748.753811
95721,1472130.974,3171,0,5570.978142
95722,83242857.04,21032,2457,47494.97359
95724,0,0,0,0
95726,110384900.8,48485,0,27320.17757
95728,25599312.81,18812,0,16329.56377
95735,3787252.011,7208,0,6305.08104
95736,4132134.227,1660,0,29870.84983
95742,173108717.1,0,50079,41480.55284
95746,793078523.9,80323,84095,113168.9433
95747,1050296931,5893,274151,45973.07022
95757,595637508.6,0,166592,42905.12211
95758,872845140.1,0,250327,41841.8376
95762,1268365159,184508,158263,82491.71803
95765,905616414.4,157732,156328,68897.85822
95776,434918767,90185,87763,57870.21349
95811,65604316.82,0,31307,25146.19101
95814,103487060.7,0,25187,49304.98782
95815,299156784.4,0,88738,40454.83799
95816,282457076.6,0,95051,35659.64503
95817,196089323.4,0,64483,36491.35247
95818,388982311,0,111668,41800.58506
95819,347934923.7,0,89423,46690.66218
95820,490689297.2,0,143052,41161.75633
95821,571308024.7,0,147297,46543.3532
95822,697869169.4,0,173083,48383.89693
95823,761337096.9,0,213804,42730.93657
95824,310929370.1,0,89989,41462.31697
95825,404380230,0,97008,50022.29466
95826,468099997.4,0,142285,39478.51122
95827,191188395.1,0,49967,45915.51905
95828,591132385.6,0,169534,41841.68737
95829,374987256.6,0,99091,45411.25914
95830,0,0,0,0
95831,631395660.4,0,166161,45598.83441
95832,127447532.8,0,34333,44545.20121
95833,382607435,0,118767,38657.95397
95834,299507700.5,0,106086,33879.04536
95835,541089148.8,0,162406,39980.47969
95837,0,0,0,0
95838,400930454.7,0,120843,39813.35664
95841,266470098.4,0,82447,38784.20296
95842,332009030.9,0,103621,38448.85082
95843,606870023.4,0,170593,42688.97482
95864,564096748.6,0,110503,61257.71231
95901,674687158.9,145844,113277,55513.05441
95903,0,0,0,0
95910,0,0,0,0
95912,85573061.28,18532,12386,55411.0045
95913,5025265.712,1763,0,34204.87155
95914,18499362.62,6139,0,36160.99551
95915,0,0,0,0
95916,26140007.59,9959,0,31497.14742
95917,52432554.46,6131,9727,64684.96489
95918,33421388.18,11296,0,35504.30755
95919,15879823.95,6480,0,29407.08139
95920,3062345.934,1249,0,29422.05861
95922,8827012.501,4262,0,24853.1558
95923,0,0,0,0
95925,2901893.385,1434,0,24283.62666
95926,872819250.8,188552,177679,55548.76644
95928,797004264.7,177730,155634,53812.24991
95930,3082774.426,1907,0,19398.68543
95932,174615871.5,34462,28808,60802.92666
95934,3058619.875,1612,0,22768.88244
95935,14100354.56,5299,0,31931.35586
95936,4170275.146,2688,0,18617.29976
95937,23730937.81,6053,2727,47046.29996
95938,96067200.72,17747,13184,64957.81871
95939,5543617.796,2265,0,29370.16051
95941,6853593.563,2762,0,29776.6556
95942,24291705.07,11484,0,25383.18189
95943,10126301.44,3626,0,33512.30482
95944,0,0,0,0
95945,584087827,128874,76688,54386.87341
95946,162814588.9,54115,3365,36104.13134
95947,22622400.08,12473,0,21764.51543
95948,190117472.2,18905,40983,55667.21975
95949,311131987.5,95089,4270,39264.09837
95950,4584266.878,1614,0,34083.76861
95951,45000653.88,8911,8646,60600.13989
95953,206265255.4,40828,35779,60624.64644
95954,167400583,62783,0,31996.03389
95955,28048099.8,6027,3875,55844.89756
95956,5665369.833,3091,0,21994.31834
95957,14189230.44,3244,1778,52487.90544
95959,408577330.4,89475,34137,54796.62436
95960,10940117.69,3538,0,37106.10862
95961,505218502.8,94614,90592,64077.43076
95962,19194583.06,7266,0,31700.38491
95963,272036138,68067,37866,47959.12344
95965,370130378.7,83364,57286,53279.1678
95966,575319691.4,137745,67308,50120.41306
95968,31942582.48,6573,5285,58315.9881
95969,857556543,150427,130015,68409.78359
95970,13865690.72,2758,1950,60329.32872
95971,53810169.63,27357,0,23603.5397
95972,0,0,0,0
95973,754771332,161589,131566,56051.1915
95974,9405695.654,1631,1276,69201.93001
95975,24386023.48,8548,0,34234.00583
95977,24910739.21,7959,0,37558.59663
95978,3379091.629,1671,0,24266.36718
95979,8900755.706,4515,0,23656.49357
95981,2792971,4124,0,8126.976722
95982,74745050.87,14260,12949,62899.06104
95983,7073120.519,3325,0,25527.0515
95984,3359468.403,1771,0,22763.1964
95986,2183313.418,1276,0,20532.72807
95987,96340248.01,21295,16964,54288.93994
95988,188302928.5,41287,33508,54729.94265
95991,893391337.9,173055,161706,61949.64638
95993,834794956.4,145619,135563,68792.80504
96001,471936257.5,19382,103547,54692.41108
96002,492018504.5,22572,112877,52306.68829
96003,664107825.4,55865,134692,59166.79465
96007,463061924.9,107452,56653,51713.72426
96008,12215095.12,3935,0,37250.60775
96009,3900180.251,1746,0,26805.36255
96010,0,0,0,0
96013,127592372.7,20913,18809,73213.23924
96016,5751833.502,2754,0,25062.45535
96019,118019286.6,0,34861,40625.09509
96020,32056009.47,19690,0,19536.42019
96021,278415477.8,71418,32629,46780.72382
96022,262444539.1,73048,16056,43113.21966
96028,35185002.89,8550,4072,49382.4602
96033,5765731.155,2133,0,32437.30608
96035,47970483.23,13438,4973,42837.16318
96040,3772811.828,1873,0,24171.77893
96047,8902656.268,3195,0,33437.20664
96051,18019516.55,8053,0,26851.38441
96055,50103829.73,17702,0,33964.86029
96056,25034753.01,7880,1254,38123.98935
96059,8168298.558,3175,0,30872.30951
96061,676214.8167,1607,0,5049.519478
96062,16617505.09,4930,0,40448.28825
96063,2233864.296,3537,0,7578.844093
96065,4472877.515,2300,0,23336.75225
96069,10407049.04,3408,0,36644.53888
96071,2853945.971,2303,0,14870.75625
96073,65274996.23,19459,0,40253.86478
96075,3954228.574,2161,0,21957.77089
96076,0,0,0,0
96080,586220598.1,136366,82114,51586.51846
96084,9770387.771,3178,0,36892.5907
96087,12740605.88,4390,0,34826.25753
96088,62790574.96,27546,0,27353.76822
96090,10342364.33,2265,1860,54793.9832
96092,6599443.605,2042,0,38782.2347
96096,8402101.915,2696,0,37398.07974
96125,4189407.024,5107,0,9843.917034
96137,40336332.05,32550,0,14870.53716
96161,0,0,0,0
Grand Total,2.73668E+11,53317935,48860487,61593.06862
0,0,0,0,0
